scenario,method,num_gpus,seed,avg_jct,p95_jct,slowdown_mean,slowdown_p95,sla,gpu_utilization,energy_kwh,queue_len_mean,jct_cv,fairness_jain,scheduler_overhead_ms,action_entropy,transition_recovery_time
drift_base_bursty_diurnal,BanditEpsGreedy,4,1441355256,487.67175572519085,835.0,1.0084218186478497,1.026773168003007,0.04580152671755725,0.9703806015960712,4.843472222221881,44.93370165745856,0.49697163741217715,0.8019369610687658,0.018055780319689373,0.7384306851982313,3252.5
drift_base_bursty_diurnal,EDF,4,1309299335,423.82978723404256,830.0,1.0095852793422257,1.0356927072812359,0.028368794326241134,0.9649509803921569,4.526041666666367,43.56437908496732,0.5657273047209437,0.7575485642707791,0.009727421755182673,1.6094379124340998,2932.5
drift_base_bursty_diurnal,BanditEpsGreedy,4,1518066888,458.28,869.0,1.012679319905756,1.0451930319756195,0.048,0.9580656070341562,4.345416666666407,34.87656408522151,0.5676057408134946,0.7563288022823381,0.018417981743904212,0.7502211192391703,2372.5
drift_diurnal_shifted_bursty,SRPT,4,3290595616,495.22727272727275,850.2499999999999,1.0080968492103757,1.0293126220154003,0.2012987012987013,0.9668929303278688,5.784930555555113,40.05122950819672,0.4982916941418381,0.801092939134554,0.009633229641711623,1.6094379124340998,0.0
drift_diurnal_shifted_bursty,SRPT,4,655775155,453.8125,860.0,1.0102621336257172,1.0346921218071818,0.1875,0.9693574514038877,5.501249999999589,38.34179265658747,0.5620403871477612,0.7599422887951303,0.009520577149139817,1.6094379124340998,3212.5
drift_base_bursty_diurnal,SRPT,4,1910341040,460.48148148148147,848.0,1.0085232462004767,1.0279498807792264,0.2074074074074074,0.9650031387319523,4.712638888888599,34.997489014438166,0.5130072286352161,0.7916550584909887,0.009686384166888155,1.6094379124340996,2937.5
drift_diurnal_shifted_bursty,SRPT,4,1942269272,495.28776978417267,860.0,1.0081164382921293,1.0308798776143853,0.2158273381294964,0.965844671201814,5.222638888888515,33.665249433106574,0.5021222097425079,0.7986412151409665,0.009581400558329768,1.6094379124340996,0.0
drift_diurnal_shifted_bursty,DynamicHeuristic,4,2142669149,473.89344262295083,855.0,1.008620181395023,1.0305023963243027,0.05737704918032787,0.9745315161839864,4.380208333333071,42.486882453151615,0.5160744052519008,0.7896818328504916,0.009869659332212639,1.6094379124340998,3310.0
drift_diurnal_shifted_bursty,SRPT,4,3714419338,470.625,870.0,1.0106979344803655,1.0399103948733823,0.25,0.968568369531967,4.851597222221903,31.021413276231264,0.5698243542353646,0.7548880161449414,0.009622580807722431,1.6094379124341,2862.5
drift_base_bursty_diurnal,BanditEpsGreedy,4,346334163,463.1297709923664,875.0,1.0111799169314082,1.051420166740272,0.06870229007633588,0.967983870967742,4.598263888888591,41.831935483870964,0.5749795134421294,0.7515398445181503,0.018113313290673578,0.7445802183721357,3132.5
drift_diurnal_shifted_bursty,StaticEqual,4,2945774305,475.63380281690144,855.0,1.010341209393432,1.0356258146669548,0.04225352112676056,0.9643578643578643,5.122222222221873,50.672150072150075,0.4934169487405277,0.8042074297119207,0.00987062477227838,1.6094379124341,0.0
drift_base_bursty_diurnal,DynamicHeuristic,4,1287826355,504.26724137931035,870.0,1.0083197658467042,1.0207523277066328,0.07758620689655173,0.9681544633901705,4.437291666666429,39.358408559010364,0.4765863293627313,0.814906577955877,0.009932310595381065,1.6094379124340998,3315.0
