workload,intensity,n_gpus,stress_tag,policy,policy_type,ablation,oracle_gap_jct,avg_jct,p95_jct,p99_jct,slowdown_mean,slowdown_p95,sla,gpu_utilization,energy_kwh,queue_len_mean,queue_len_max,queue_exploded,jct_cv,fairness_jain,action_entropy
base,medium,4,normal,StaticEqual,heuristic,none,0.0,474.8235150384291,867.8333333333334,892.9833333333332,1.0100342637540738,1.0357267226797455,0.0544586259063626,0.9774473712674133,4.8215972222218655,46.517577515074656,99.33333333333333,0.0,0.5430013993617459,0.7722803533049561,0.0
base,medium,4,normal,StaticPriority,heuristic,none,0.0,474.8235150384291,867.8333333333334,892.9833333333332,1.0100342637540736,1.0357267226797455,0.12801224539423997,0.9795512619456189,4.820810185184833,48.990920811779546,100.33333333333333,0.0,0.5430013993617459,0.7722803533049559,0.0
base,medium,4,normal,EDF,heuristic,none,0.0,474.8235150384291,867.8333333333334,892.9833333333332,1.0100342637540736,1.0357267226797455,0.05067008284405536,0.9820714821047409,4.819560185184855,40.19892368679453,89.33333333333333,0.0,0.5430013993617459,0.7722803533049561,0.0
base,medium,4,normal,SRPT,heuristic,none,0.0,474.8235150384291,867.8333333333334,892.9833333333332,1.0100342637540738,1.0357267226797455,0.2507599299461502,0.9725313056511958,4.823773148147815,30.86449783477121,72.0,0.0,0.5430013993617459,0.7722803533049559,0.0
base,medium,4,normal,DynamicHeuristic,heuristic,none,0.0,474.8235150384291,867.8333333333334,892.9833333333332,1.0100342637540738,1.0357267226797455,0.04899414503204566,0.980485508872294,4.820486111110758,46.32622949890006,96.0,0.0,0.5430013993617459,0.7722803533049559,0.0
base,medium,4,normal,RLMetaDQN,rl,baseline,0.0,474.8235150384291,867.8333333333334,892.9833333333332,1.0100342637540738,1.0357267226797455,0.04847710038791501,0.9757323405717314,4.822337962962629,45.85402999101532,99.0,0.0,0.5430013993617459,0.7722803533049561,1.6092537131551816
base,medium,4,normal,RLMetaDQN,rl,no_intensity,0.0,474.8235150384291,867.8333333333334,892.9833333333332,1.0100342637540738,1.0357267226797455,0.05170417213231667,0.9777748435871279,4.821643518518172,42.23531361024075,90.33333333333333,0.0,0.5430013993617459,0.7722803533049559,1.591775161558589
base,medium,4,normal,RLMetaDQN,rl,no_workload,0.0,474.8235150384291,867.8333333333334,892.9833333333332,1.0100342637540738,1.0357267226797455,0.053402323281213825,0.9782174736491697,4.821319444444111,40.0187346754726,89.33333333333333,0.0,0.5430013993617459,0.7722803533049561,1.6016440943149572
base,medium,4,normal,RLMetaDQN,rl,no_queue_feat,0.0,474.8235150384291,867.8333333333334,892.9833333333332,1.0100342637540736,1.0357267226797455,0.05067008284405536,0.9820714821047409,4.819560185184855,40.19892368679453,89.33333333333333,0.0,0.5430013993617459,0.7722803533049561,1.6092000007629395
base,medium,4,normal,RLMetaDQN,rl,no_gpu_feat,0.0,474.8235150384291,867.8333333333334,892.9833333333332,1.0100342637540738,1.0357267226797455,0.05067008284405536,0.9759622521685906,4.822106481481153,45.74814377829072,98.66666666666667,0.0,0.5430013993617457,0.7722803533049561,1.6092537284167305
base,high,4,stress_high,StaticEqual,heuristic,none,0.0,473.5329327992879,859.5833333333334,891.9333333333334,1.0100652294547172,1.0381244749921936,0.02958754251003566,0.9880568282058283,8.972986111110218,104.41632333701068,214.0,0.6666666666666666,0.5397795705296772,0.774356170115294,0.0
base,high,4,stress_high,StaticPriority,heuristic,none,0.0,473.5329327992879,859.5833333333334,891.9333333333334,1.0100652294547172,1.0381244749921936,0.04204179786359535,0.9856830147193758,8.975023148147255,107.57652856836681,215.33333333333334,0.6666666666666666,0.5397795705296772,0.7743561701152942,0.0
base,high,4,stress_high,EDF,heuristic,none,0.0,473.5329327992879,859.5833333333334,891.9333333333334,1.0100652294547172,1.0381244749921936,0.025696863431386652,0.9884485701295752,8.972754629628684,92.28850482471269,196.66666666666666,0.3333333333333333,0.5397795705296772,0.7743561701152942,0.0
base,high,4,stress_high,SRPT,heuristic,none,0.0,473.5329327992879,859.5833333333334,891.9333333333334,1.0100652294547172,1.0381244749921936,0.15573000146115176,0.9888623345201896,8.972337962962051,69.96986224185748,167.0,0.0,0.5397795705296772,0.7743561701152943,0.0
base,high,4,stress_high,DynamicHeuristic,heuristic,none,0.0,473.5329327992879,859.5833333333334,891.9333333333334,1.0100652294547172,1.0381244749921936,0.02881212822889444,0.9856124261454894,8.975069444443553,104.60449642232207,209.33333333333334,0.6666666666666666,0.5397795705296772,0.7743561701152942,0.0
base,high,4,stress_high,RLMetaDQN,rl,baseline,0.0,473.5329327992879,859.5833333333334,891.9333333333334,1.0100652294547172,1.0381244749921936,0.031145174908789555,0.9908326508801073,8.970763888887966,93.65421589261098,197.0,0.3333333333333333,0.5397795705296772,0.7743561701152942,1.4934169800875463
base,high,4,stress_high,RLMetaDQN,rl,no_intensity,0.0,473.5329327992879,859.5833333333334,891.9333333333334,1.0100652294547172,1.0381244749921936,0.031145174908789555,0.9879719256017387,8.972986111110222,93.5918550613474,197.0,0.3333333333333333,0.5397795705296772,0.7743561701152942,1.5475851796732638
base,high,4,stress_high,RLMetaDQN,rl,no_workload,0.0,473.5329327992879,859.5833333333334,891.9333333333334,1.0100652294547172,1.0381244749921936,0.022581598633878864,0.9900973940155233,8.971458333332414,92.50568982102025,196.33333333333334,0.3333333333333333,0.5397795705296772,0.7743561701152943,1.2793617154479262
