workload,intensity,num_gpus,super_high_load,regime_id,scheduler,seed,avg_jct,p95_jct,slowdown_mean,slowdown_p95,sla,gpu_utilization,energy_kwh,queue_len_mean,jct_cv,fairness_jain,scheduler_overhead_ms,action_entropy
base,low,2,0,base_low_2gpus,StaticEqual,455397984,482.5,881.75,1.010312374189032,1.0422667112932134,0.02702702702702703,0.9742211193824097,2.9575694444444767,27.28287841191067,0.5331754757558635,0.7786487729420126,0.0035552662625682376,0.0
base,low,2,0,base_low_2gpus,StaticEqual,74791353,449.92424242424244,802.5,1.0082446562580158,1.023862262383667,0.030303030303030304,0.9574502771437887,2.4652083333332815,24.04401695467884,0.5131389594847782,0.7915703509225732,0.003469347941972659,0.0
base,low,2,0,base_low_2gpus,StaticEqual,1742329483,475.38461538461536,873.0,1.0096714163917333,1.0342197523051497,0.03076923076923077,0.9590652446675031,2.5660416666666253,22.875156838143038,0.5638358744044101,0.7587766404459156,0.0035038836705489633,0.0
base,low,2,0,base_low_2gpus,StaticEqual,1361722852,443.98148148148147,848.7499999999999,1.0109138172816854,1.0359836056774125,0.09259259259259259,0.971516393442623,1.9850694444443568,19.63155737704918,0.5486721442408937,0.7686152137641878,0.003580229874432171,0.0
base,low,2,0,base_low_2gpus,StaticEqual,881777334,403.6363636363636,845.0,1.0111330559554923,1.0448333437818706,0.030303030303030304,0.9626783754116356,2.2066666666665875,24.8514452982071,0.5794233547156135,0.7486534957841339,0.003592031707144126,0.0
base,low,2,0,base_low_2gpus,StaticPriority,116041174,458.6607142857143,837.5,1.0113080537705084,1.038988116403986,0.08928571428571429,0.9771153846153846,2.1253472222221452,19.51076923076923,0.551796055125645,0.7665896400352409,0.0037734503992116796,0.0
base,low,2,0,base_low_2gpus,StaticPriority,1783579304,471.9672131147541,845.0,1.0086801626237625,1.0320603549722196,0.09836065573770492,0.9856401384083044,2.379513888888851,24.227681660899655,0.5297578246246953,0.7808575259074765,0.003597468540965093,0.0
base,low,2,0,base_low_2gpus,StaticPriority,1402972673,441.484375,831.9999999999999,1.0106071491509376,1.040033503372937,0.09375,0.975043630017452,2.337847222222168,22.963350785340314,0.537002120869257,0.7761737763143362,0.0036743067796780916,0.0
base,low,2,0,base_low_2gpus,StaticPriority,923027155,471.2328767123288,872.0,1.0097016758397035,1.0359087019905675,0.0684931506849315,0.9782983615981604,2.846736111111139,29.098304110376546,0.5399819046417841,0.7742452236061962,0.0035628738441034996,0.0
base,low,2,0,base_low_2gpus,StaticPriority,542420524,480.4861111111111,864.5,1.0103713796664553,1.0426303586339165,0.06944444444444445,0.9687323146576118,2.8682638888889143,27.90464063384267,0.5332602237266245,0.7785939810082023,0.003566236238528452,0.0
base,low,2,0,base_low_2gpus,EDF,1942606283,469.9,847.75,1.0065780256177976,1.0165712773147724,0.1,0.9625258799171843,1.949652777777701,12.66128364389234,0.5257147867865272,0.7834681715847943,0.003505988763216266,0.0
base,low,2,0,base_low_2gpus,EDF,1462660765,445.875,826.0,1.0118667160389117,1.0362052691282262,0.05,0.9542748917748918,1.4813194444444209,9.01569264069264,0.5736758581848176,0.7523865757112005,0.0036394606141304975,0.0
